# offset offset_z sigma_0 sigma_z logc Blambda corr_len A_0 A_1 A_2 A_3 A_4 A_5 A_6 A_7 A_8 A_9 A_10 A_inf
1.262975342400899925e-01 -1.863477550463305543e-01 1.800590078839814367e-01 1.701724286737000824e-01 -7.071440616872681773e-02 5.135967847137266062e-01 8.204492830608775544e-02 -6.292423926546248936e-01 -9.913422581945656731e-01 4.794122850621462817e-01 3.100210303969834769e-01 -1.986886959580305145e+00 3.970974294613682787e-04 1.093818327452543926e+00 -3.669867577707917050e-01 -7.188676695768529967e-01 2.431110251258595589e+00 -1.240463890678458636e+00 -2.048224179955863367e+00
1.146330372026887201e-01 -1.657562648289382934e-01 1.753938908564284249e-01 1.576369115526258247e-01 -6.527874483779017023e-02 5.012895896089029080e-01 8.783361278389001381e-02 -4.325052289279760487e-01 -1.980698011830384075e-01 1.058688815835548525e+00 3.238486862343856743e-01 -5.519220832718252367e-01 -5.249330481509941748e-01 2.318220400498494094e+00 1.355237172811385449e-01 -1.103563727798302363e+00 3.712747701833919223e+00 1.414216918445657889e+00 -3.498021074121489882e+00
1.180004436840313975e-01 -1.617535210964606840e-01 1.733577753168758229e-01 1.699844148623432805e-01 -8.723404884039720475e-02 5.020721608236531353e-01 8.579724899713975228e-02 8.244522999592165391e-01 -7.981901574847380942e-01 9.610629480780810141e-01 1.487142807654024956e+00 -2.306614772651931933e+00 1.850648422480672295e+00 7.161705589630269486e-01 6.164851866229010824e-01 3.592501719225769108e-01 1.054673994379435875e+00 3.112559587998237731e+00 -3.636455910495198562e+00
1.167033011334223658e-01 -1.663270192309372342e-01 1.776578762423937641e-01 1.631143703254775978e-01 -1.637253454613885051e-02 5.945154704409243429e-01 8.395422998316612317e-02 -1.061926588672503335e+00 -5.367850065665642489e-01 4.365430793905034079e-01 1.793596560462322742e-01 -1.049518597669254039e+00 -7.787804662150126234e-01 2.003999494415531046e+00 -1.212901184533109245e+00 -3.011025136849028172e-01 1.809185475272928834e+00 1.510482778331131648e+00 -2.411988092810547712e+00
1.165583810503207363e-01 -1.682611604146547202e-01 1.786562921945612226e-01 1.803601084195332049e-01 -1.222217441553679063e-01 3.940766682948324551e-01 9.397676488546299889e-02 -8.035767719895980932e-01 -2.312676629221233071e-02 5.389461797343733096e-01 7.698998387740161320e-01 -1.613020798226999730e+00 1.935615440700928502e-01 1.612568404628279772e+00 -2.531579213542585194e-01 -4.433289701398237526e-01 1.560286825163432312e+00 2.418872266444712871e+00 -2.971698290728653546e+00
1.172690699390667168e-01 -1.762369615167492798e-01 1.810603362714116871e-01 1.554668858803670561e-01 -5.735591398073203173e-02 6.990551905551636303e-01 8.473849553297524428e-02 -1.128627432721337698e+00 -7.154907731090762724e-01 -1.643106170917203457e-01 1.046784483074909566e+00 -2.402530662135085038e+00 -3.748303874708920347e-01 1.972724216760017413e+00 -1.868312674301022103e+00 4.948104297737954127e-01 1.018024486922815441e+00 1.613492123874149087e+00 -2.004467757934945915e+00
1.159317749004073750e-01 -1.913913701537537371e-01 1.796785352488648457e-01 1.517277690895045827e-01 -1.353529004633481359e-01 5.012765310880080705e-01 7.994104353647314698e-02 -6.504228410947954231e-01 9.686040510088833599e-01 -2.034079821195033944e-01 2.211629828706882961e+00 -2.014391601351158023e+00 1.030335943297466805e+00 1.703012560395925412e+00 1.946734550860087509e-01 -3.075258046283382285e-01 3.737625727248056862e+00 1.051874493258954324e+00 -3.851703962040867069e+00
1.181213930510832955e-01 -1.717583559670166626e-01 1.811594997290868758e-01 1.539452377257536364e-01 -1.396583623389445750e-01 4.816874221039073589e-01 8.281359640457308657e-02 1.055635614078203055e+00 -1.552017366138030319e+00 6.103355793687814668e-01 6.813244741136328386e-01 -1.501029699373447102e+00 -3.324724099390863330e-01 1.735560374317262955e+00 -2.831814606876301710e-01 -9.132049938655804056e-01 2.032193790901169805e+00 2.099480634714363525e+00 -2.491061394281261165e+00
1.209057225380777978e-01 -1.802365485649634613e-01 1.795333746302522626e-01 1.559693619497315442e-01 -1.526140272836591372e-01 4.253565149049602923e-01 8.775310565020821851e-02 -3.445442163075087549e-01 -8.076062435391246908e-01 1.049281472756897315e+00 4.310252723743079883e-01 -1.730817011830803054e+00 1.321501501021931091e-01 2.052308747169099945e+00 -1.245326542417046767e+00 2.991856057531201429e-01 2.663425838274601887e+00 6.204638023798967339e-01 -2.802116158527578449e+00
1.077525428789916639e-01 -1.616101745520111543e-01 1.745205022495037450e-01 1.825231707759225053e-01 -5.297411784245087407e-02 6.938502352666553463e-01 8.651093114360695890e-02 4.543067961963433987e-01 -9.930131501480730094e-01 1.375142408848139652e+00 6.273562216307944084e-01 -1.429739525428080249e+00 8.321971937470618030e-01 1.529781593319148314e+00 -1.751140342162935681e-01 5.226951580274583620e-01 1.124979601738703927e+00 3.301857743791224209e+00 -3.602956622662328190e+00
