# alpha_SZ_0 SZ_comp0_0 SZ_comp1_0 kappa_SPT alpha_opt_0 opt_comp0_0 opt_comp1_0 alpha_SZ_z alpha_SZ_lam SZ_comp0_z SZ_comp0_lam SZ_comp1_z SZ_comp1_lam alpha_opt_z alpha_opt_lam opt_comp0_z opt_comp0_lam opt_comp1_z opt_comp1_lam alpha_X_0 alpha_X_z alpha_X_lam X_comp0_0 X_comp0_z X_comp0_lam X_comp1_0 X_comp1_z X_comp1_lam
7.8607e-01 1.6125e-02 1.1117e-01 5.0653e-01 9.6966e-01 1.0643e-04 1.7619e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.1382e-01 1.6273e-02 1.3639e-01 7.5318e-01 9.2352e-01 4.4786e-03 1.6265e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.3233e-01 1.2668e-02 1.6150e-01 8.0942e-01 7.5323e-01 6.8264e-03 1.0065e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.3874e-01 1.0011e-02 3.5663e-02 1.1889e+00 8.2102e-01 3.5510e-03 1.1300e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.1669e-01 8.3425e-03 4.9866e-02 6.5770e-01 7.7065e-01 8.8743e-03 1.3018e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.0596e-01 4.5942e-04 1.4676e-01 5.7394e-01 7.1333e-01 1.4816e-02 3.0813e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.0015e-01 9.4246e-03 1.3859e-01 8.2567e-01 5.7722e-01 2.4110e-03 4.7825e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.3695e-01 1.4225e-02 2.9961e-03 8.2538e-01 7.8013e-01 3.1291e-03 1.5178e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.9064e-01 1.6982e-02 1.3862e-01 5.2226e-01 8.5538e-01 3.9546e-03 1.0606e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.0666e-01 2.9279e-03 1.3763e-01 1.0466e+00 8.9102e-01 2.0334e-02 1.1141e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
